"Stock Number","Population Name","Year","Abundance Quantity","Production Type","Calculation Type","Report Types"
1248,"Elwha River - fall Chinook salmon",2013,105,"Natural","Expanded","SCoRE,SOS"
1248,"Elwha River - fall Chinook salmon",2014,96,"Natural","Expanded","SCoRE,SOS"
1248,"Elwha River - fall Chinook salmon",2015,165,"Natural","Expanded","SCoRE,SOS"
1248,"Elwha River - fall Chinook salmon",2016,85,"Natural","Expanded","SCoRE,SOS"
1248,"Elwha River - fall Chinook salmon",2017,70,"Natural","Expanded","SCoRE,SOS"
1248,"Elwha River - fall Chinook salmon",2018,95,"Natural","Expanded","SCoRE,SOS"
1248,"Elwha River - fall Chinook salmon",2019,212,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2003,1228,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2004,2555,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2005,1108,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2006,2586,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2007,1762,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2008,3792,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2009,165,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2010,859,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2011,459,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2012,1638,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2013,524,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2014,756,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2015,864,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2016,2566,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2017,2047,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2018,2206,"Natural","Expanded","SCoRE,SOS"
1160,"Green River - fall Chinook salmon",2019,1344,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2000,576,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2001,1103,"Natural","Expanded","SCoRE,SOS"
