"ESU_DPS","ESU_DPS_COMMONNAME","MAJORPOPGROUP","COMMONPOPNAME2","COMMONNAME","RUN","WATERBODY","SPAWNINGYEAR","final_abundance","final_abundance_data_type","METHODNUMBER","dsid"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2018,1150,"NOSAEJ",1,"8b845e6d-5843-4c25-a37b-90b2ddc1e313"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2019,1657,"NOSAEJ",1,"8b845e6d-5843-4c25-a37b-90b2ddc1e313"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2020,4220,"NOSAEJ",1,"8b845e6d-5843-4c25-a37b-90b2ddc1e313"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2021,2164,"NOSAEJ",1,"8b845e6d-5843-4c25-a37b-90b2ddc1e313"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2022,3328,"NOSAEJ",1,"8b845e6d-5843-4c25-a37b-90b2ddc1e313"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2023,2440,"NOSAEJ",1,"8b845e6d-5843-4c25-a37b-90b2ddc1e313"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2024,1594,"NOSAEJ",1,"8b845e6d-5843-4c25-a37b-90b2ddc1e313"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - late fall Chinook salmon","Chinook salmon","Fall","Lewis River",2013,17478,"NOSAIJ",1,"a4048108-ccc0-4c7a-83e3-2b31af1c8d15"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - late fall Chinook salmon","Chinook salmon","Fall","Lewis River",2014,19928,"NOSAIJ",1,"a4048108-ccc0-4c7a-83e3-2b31af1c8d15"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - late fall Chinook salmon","Chinook salmon","Fall","Lewis River",2015,18835,"NOSAIJ",1,"a4048108-ccc0-4c7a-83e3-2b31af1c8d15"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - late fall Chinook salmon","Chinook salmon","Fall","Lewis River",2016,9236,"NOSAIJ",1,"a4048108-ccc0-4c7a-83e3-2b31af1c8d15"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - late fall Chinook salmon","Chinook salmon","Fall","Lewis River",2017,7415,"NOSAIJ",1,"a4048108-ccc0-4c7a-83e3-2b31af1c8d15"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - late fall Chinook salmon","Chinook salmon","Fall","Lewis River",2018,5034,"NOSAIJ",1,"a4048108-ccc0-4c7a-83e3-2b31af1c8d15"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - late fall Chinook salmon","Chinook salmon","Fall","Lewis River",2019,12070,"NOSAIJ",1,"a4048108-ccc0-4c7a-83e3-2b31af1c8d15"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - late fall Chinook salmon","Chinook salmon","Fall","Lewis River",2020,25987,"NOSAIJ",1,"a4048108-ccc0-4c7a-83e3-2b31af1c8d15"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - late fall Chinook salmon","Chinook salmon","Fall","Lewis River",2021,12809,"NOSAIJ",1,"a4048108-ccc0-4c7a-83e3-2b31af1c8d15"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - late fall Chinook salmon","Chinook salmon","Fall","Lewis River",2022,7013,"NOSAIJ",1,"a4048108-ccc0-4c7a-83e3-2b31af1c8d15"
